,date,state,name,wholesalePrice,retailPrice,shoppingmallPrice,units,image
30,2024-05-01,Uttar Pradesh,Brinjal,22,25 - 28,26 - 36,1kg,resource/images/vegetables/brinjal-64.png
31,2024-05-01,Uttar Pradesh,Brinjal (Big),24,28 - 30,29 - 40,1kg,resource/images/vegetables/brinjalbig-64.png
32,2024-05-01,Uttar Pradesh,Elephant Yam,29,33 - 37,35 - 48,1kg,resource/images/vegetables/elephantyam-64.png
33,2024-05-01,Uttar Pradesh,Fenugreek Leaves,10,12 - 13,12 - 17,1kg,resource/images/vegetables/fenugreekleaves-64.png
34,2024-05-01,Uttar Pradesh,French Beans,49,56 - 62,59 - 81,1kg,resource/images/vegetables/frenchbeans-64.png
35,2024-05-01,Uttar Pradesh,Garlic,152,175 - 193,182 - 251,1kg,resource/images/vegetables/garlic-64.png
36,2024-05-01,Uttar Pradesh,Ginger,114,131 - 145,137 - 188,1kg,resource/images/vegetables/ginger-64.png
37,2024-05-01,Uttar Pradesh,Onion Green,46,53 - 58,55 - 76,1kg,resource/images/vegetables/oniongreen-64.png
38,2024-05-01,Uttar Pradesh,Green Peas,40,46 - 51,48 - 66,1kg,resource/images/vegetables/greenpeas-64.png
39,2024-05-01,Uttar Pradesh,Ivy Gourd,28,32 - 36,34 - 46,1kg,resource/images/vegetables/ivygourd-64.png
40,2024-05-01,Uttar Pradesh,Lemon (Lime),75,86 - 95,90 - 124,1kg,resource/images/vegetables/lemon-64.png
41,2024-05-01,Uttar Pradesh,Mango Raw,25,29 - 32,30 - 41,1kg,resource/images/vegetables/mangoraw-64.png
42,2024-05-01,Uttar Pradesh,Mint Leaves,5,6 - 6,6 - 8,1kg,resource/images/vegetables/mintleaves-64.png
43,2024-05-01,Uttar Pradesh,Mushroom,87,100 - 110,104 - 144,1kg,resource/images/vegetables/mushroom-64.png
44,2024-05-01,Uttar Pradesh,Mustard Leaves,14,16 - 18,17 - 23,1kg,resource/images/vegetables/mustardleaves-64.png
45,2024-05-01,Uttar Pradesh,Ladies Finger,42,48 - 53,50 - 69,1kg,resource/images/vegetables/ladiesfinger-64.png
46,2024-05-01,Uttar Pradesh,Pumpkin,19,22 - 24,23 - 31,1kg,resource/images/vegetables/pumpkin-64.png
47,2024-05-01,Uttar Pradesh,Radish,24,28 - 30,29 - 40,1kg,resource/images/vegetables/radish-64.png
48,2024-05-01,Uttar Pradesh,Ridge Gourd,34,39 - 43,41 - 56,1kg,resource/images/vegetables/ridgegourd-64.png
49,2024-05-01,Uttar Pradesh,Shallot (Pearl Onion),30,35 - 38,36 - 50,1kg,resource/images/vegetables/shallot-64.png
50,2024-05-01,Uttar Pradesh,Snake Gourd,23,26 - 29,28 - 38,1kg,resource/images/vegetables/snakegourd-64.png
51,2024-05-01,Uttar Pradesh,Sorrel Leaves,11,13 - 14,13 - 18,1kg,resource/images/vegetables/sorrelleaves-64.png
52,2024-05-01,Uttar Pradesh,Spinach,16,18 - 20,19 - 26,1kg,resource/images/vegetables/spinach-64.png
53,2024-05-01,Uttar Pradesh,Sweet Potato,39,45 - 50,47 - 64,1kg,resource/images/vegetables/sweetpotato-64.png
54,2024-05-02,Uttar Pradesh,Onion Big,27,31 - 34,32 - 45,1kg,resource/images/vegetables/onionbig-64.png
55,2024-05-02,Uttar Pradesh,Onion Small,32,37 - 41,38 - 53,1kg,resource/images/vegetables/onionsmall-64.png
56,2024-05-02,Uttar Pradesh,Tomato,27,31 - 34,32 - 45,1kg,resource/images/vegetables/tomato-64.png
57,2024-05-02,Uttar Pradesh,Green Chilli,44,51 - 56,53 - 73,1kg,resource/images/vegetables/greenchili-64.png
58,2024-05-02,Uttar Pradesh,Beetroot,38,44 - 48,46 - 63,1kg,resource/images/vegetables/beetroot-64.png
59,2024-05-02,Uttar Pradesh,Potato,28,32 - 36,34 - 46,1kg,resource/images/vegetables/potato-64.png
60,2024-05-02,Uttar Pradesh,Raw Banana (Plantain),8,9 - 10,10 - 13,1kg,resource/images/vegetables/plantain-64.png
61,2024-05-02,Uttar Pradesh,Amaranth Leaves,10,12 - 13,12 - 17,1kg,resource/images/vegetables/amaranthleaves-64.png
62,2024-05-02,Uttar Pradesh,Amla,75,86 - 95,90 - 124,1kg,resource/images/vegetables/amla-64.png
63,2024-05-02,Uttar Pradesh,Ash gourd,23,26 - 29,28 - 38,1kg,resource/images/vegetables/ashgourd-64.png
64,2024-05-02,Uttar Pradesh,Baby Corn,63,72 - 80,76 - 104,1kg,resource/images/vegetables/babycorn-64.png
65,2024-05-02,Uttar Pradesh,Banana Flower,20,23 - 25,24 - 33,1kg,resource/images/vegetables/bananaflower-64.png
66,2024-05-02,Uttar Pradesh,Capsicum,48,55 - 61,58 - 79,1kg,resource/images/vegetables/capsicum-64.png
67,2024-05-02,Uttar Pradesh,Bitter Gourd,32,37 - 41,38 - 53,1kg,resource/images/vegetables/bittergourd-64.png
68,2024-05-02,Uttar Pradesh,Bottle Gourd,26,30 - 33,31 - 43,1kg,resource/images/vegetables/bottlegourd-64.png
69,2024-05-02,Uttar Pradesh,Butter Beans,50,58 - 64,60 - 83,1kg,resource/images/vegetables/butterbeans-64.png
70,2024-05-02,Uttar Pradesh,Broad Beans,28,32 - 36,34 - 46,1kg,resource/images/vegetables/broadbeans-64.png
71,2024-05-02,Uttar Pradesh,Cabbage,22,25 - 28,26 - 36,1kg,resource/images/vegetables/cabbage-64.png
72,2024-05-02,Uttar Pradesh,Carrot,45,52 - 57,54 - 74,1kg,resource/images/vegetables/carrot-64.png
73,2024-05-02,Uttar Pradesh,Cauliflower,27,31 - 34,32 - 45,1kg,resource/images/vegetables/cauliflower-64.png
74,2024-05-02,Uttar Pradesh,Cluster beans,41,47 - 52,49 - 68,1kg,resource/images/vegetables/clusterbeans-64.png
75,2024-05-02,Uttar Pradesh,Coconut,34,39 - 43,41 - 56,1kg,resource/images/vegetables/coconut-64.png
76,2024-05-02,Uttar Pradesh,Colocasia Leaves,12,14 - 15,14 - 20,1kg,resource/images/vegetables/colocasialeaves-64.png
77,2024-05-02,Uttar Pradesh,Colocasia,27,31 - 34,32 - 45,1kg,resource/images/vegetables/colocasia-64.png
78,2024-05-02,Uttar Pradesh,Coriander Leaves,8,9 - 10,10 - 13,1kg,resource/images/vegetables/corianderleaves-64.png
79,2024-05-02,Uttar Pradesh,Corn,26,30 - 33,31 - 43,1kg,resource/images/vegetables/corn-64.png
80,2024-05-02,Uttar Pradesh,Cucumber,28,32 - 36,34 - 46,1kg,resource/images/vegetables/cucumber-64.png
81,2024-05-02,Uttar Pradesh,Curry Leaves,25,29 - 32,30 - 41,1kg,resource/images/vegetables/curryleaves-64.png
82,2024-05-02,Uttar Pradesh,Dill Leaves,10,12 - 13,12 - 17,1kg,resource/images/vegetables/dillleaves-64.png
83,2024-05-02,Uttar Pradesh,Drumsticks,50,58 - 64,60 - 83,1kg,resource/images/vegetables/drumsticks-64.png
84,2024-05-02,Uttar Pradesh,Brinjal,22,25 - 28,26 - 36,1kg,resource/images/vegetables/brinjal-64.png
85,2024-05-02,Uttar Pradesh,Brinjal (Big),24,28 - 30,29 - 40,1kg,resource/images/vegetables/brinjalbig-64.png
86,2024-05-02,Uttar Pradesh,Elephant Yam,29,33 - 37,35 - 48,1kg,resource/images/vegetables/elephantyam-64.png
87,2024-05-02,Uttar Pradesh,Fenugreek Leaves,10,12 - 13,12 - 17,1kg,resource/images/vegetables/fenugreekleaves-64.png
88,2024-05-02,Uttar Pradesh,French Beans,49,56 - 62,59 - 81,1kg,resource/images/vegetables/frenchbeans-64.png
89,2024-05-02,Uttar Pradesh,Garlic,152,175 - 193,182 - 251,1kg,resource/images/vegetables/garlic-64.png
90,2024-05-02,Uttar Pradesh,Ginger,114,131 - 145,137 - 188,1kg,resource/images/vegetables/ginger-64.png
91,2024-05-02,Uttar Pradesh,Onion Green,46,53 - 58,55 - 76,1kg,resource/images/vegetables/oniongreen-64.png
92,2024-05-02,Uttar Pradesh,Green Peas,40,46 - 51,48 - 66,1kg,resource/images/vegetables/greenpeas-64.png
93,2024-05-02,Uttar Pradesh,Ivy Gourd,28,32 - 36,34 - 46,1kg,resource/images/vegetables/ivygourd-64.png
94,2024-05-02,Uttar Pradesh,Lemon (Lime),75,86 - 95,90 - 124,1kg,resource/images/vegetables/lemon-64.png
95,2024-05-02,Uttar Pradesh,Mango Raw,25,29 - 32,30 - 41,1kg,resource/images/vegetables/mangoraw-64.png
96,2024-05-02,Uttar Pradesh,Mint Leaves,5,6 - 6,6 - 8,1kg,resource/images/vegetables/mintleaves-64.png
97,2024-05-02,Uttar Pradesh,Mushroom,87,100 - 110,104 - 144,1kg,resource/images/vegetables/mushroom-64.png
98,2024-05-02,Uttar Pradesh,Mustard Leaves,14,16 - 18,17 - 23,1kg,resource/images/vegetables/mustardleaves-64.png
99,2024-05-02,Uttar Pradesh,Ladies Finger,42,48 - 53,50 - 69,1kg,resource/images/vegetables/ladiesfinger-64.png
100,2024-05-02,Uttar Pradesh,Pumpkin,19,22 - 24,23 - 31,1kg,resource/images/vegetables/pumpkin-64.png
101,2024-05-02,Uttar Pradesh,Radish,24,28 - 30,29 - 40,1kg,resource/images/vegetables/radish-64.png
102,2024-05-02,Uttar Pradesh,Ridge Gourd,34,39 - 43,41 - 56,1kg,resource/images/vegetables/ridgegourd-64.png
103,2024-05-02,Uttar Pradesh,Shallot (Pearl Onion),30,35 - 38,36 - 50,1kg,resource/images/vegetables/shallot-64.png
104,2024-05-02,Uttar Pradesh,Snake Gourd,23,26 - 29,28 - 38,1kg,resource/images/vegetables/snakegourd-64.png
105,2024-05-02,Uttar Pradesh,Sorrel Leaves,11,13 - 14,13 - 18,1kg,resource/images/vegetables/sorrelleaves-64.png
106,2024-05-02,Uttar Pradesh,Spinach,16,18 - 20,19 - 26,1kg,resource/images/vegetables/spinach-64.png
107,2024-05-02,Uttar Pradesh,Sweet Potato,39,45 - 50,47 - 64,1kg,resource/images/vegetables/sweetpotato-64.png
108,2024-05-03,Uttar Pradesh,Onion Big,27,31 - 34,32 - 45,1kg,resource/images/vegetables/onionbig-64.png
109,2024-05-03,Uttar Pradesh,Onion Small,32,37 - 41,38 - 53,1kg,resource/images/vegetables/onionsmall-64.png
110,2024-05-03,Uttar Pradesh,Tomato,27,31 - 34,32 - 45,1kg,resource/images/vegetables/tomato-64.png
111,2024-05-03,Uttar Pradesh,Green Chilli,44,51 - 56,53 - 73,1kg,resource/images/vegetables/greenchili-64.png
112,2024-05-03,Uttar Pradesh,Beetroot,38,44 - 48,46 - 63,1kg,resource/images/vegetables/beetroot-64.png
113,2024-05-03,Uttar Pradesh,Potato,28,32 - 36,34 - 46,1kg,resource/images/vegetables/potato-64.png
114,2024-05-03,Uttar Pradesh,Raw Banana (Plantain),8,9 - 10,10 - 13,1kg,resource/images/vegetables/plantain-64.png
115,2024-05-03,Uttar Pradesh,Amaranth Leaves,10,12 - 13,12 - 17,1kg,resource/images/vegetables/amaranthleaves-64.png
116,2024-05-03,Uttar Pradesh,Amla,75,86 - 95,90 - 124,1kg,resource/images/vegetables/amla-64.png
117,2024-05-03,Uttar Pradesh,Ash gourd,23,26 - 29,28 - 38,1kg,resource/images/vegetables/ashgourd-64.png
118,2024-05-03,Uttar Pradesh,Baby Corn,63,72 - 80,76 - 104,1kg,resource/images/vegetables/babycorn-64.png
119,2024-05-03,Uttar Pradesh,Banana Flower,20,23 - 25,24 - 33,1kg,resource/images/vegetables/bananaflower-64.png
120,2024-05-03,Uttar Pradesh,Capsicum,48,55 - 61,58 - 79,1kg,resource/images/vegetables/capsicum-64.png
121,2024-05-03,Uttar Pradesh,Bitter Gourd,32,37 - 41,38 - 53,1kg,resource/images/vegetables/bittergourd-64.png
122,2024-05-03,Uttar Pradesh,Bottle Gourd,26,30 - 33,31 - 43,1kg,resource/images/vegetables/bottlegourd-64.png
123,2024-05-03,Uttar Pradesh,Butter Beans,50,58 - 64,60 - 83,1kg,resource/images/vegetables/butterbeans-64.png
124,2024-05-03,Uttar Pradesh,Broad Beans,28,32 - 36,34 - 46,1kg,resource/images/vegetables/broadbeans-64.png
125,2024-05-03,Uttar Pradesh,Cabbage,22,25 - 28,26 - 36,1kg,resource/images/vegetables/cabbage-64.png
126,2024-05-03,Uttar Pradesh,Carrot,45,52 - 57,54 - 74,1kg,resource/images/vegetables/carrot-64.png
127,2024-05-03,Uttar Pradesh,Cauliflower,27,31 - 34,32 - 45,1kg,resource/images/vegetables/cauliflower-64.png
128,2024-05-03,Uttar Pradesh,Cluster beans,41,47 - 52,49 - 68,1kg,resource/images/vegetables/clusterbeans-64.png
129,2024-05-03,Uttar Pradesh,Coconut,34,39 - 43,41 - 56,1kg,resource/images/vegetables/coconut-64.png
130,2024-05-03,Uttar Pradesh,Colocasia Leaves,12,14 - 15,14 - 20,1kg,resource/images/vegetables/colocasialeaves-64.png
131,2024-05-03,Uttar Pradesh,Colocasia,27,31 - 34,32 - 45,1kg,resource/images/vegetables/colocasia-64.png
132,2024-05-03,Uttar Pradesh,Coriander Leaves,8,9 - 10,10 - 13,1kg,resource/images/vegetables/corianderleaves-64.png
133,2024-05-03,Uttar Pradesh,Corn,26,30 - 33,31 - 43,1kg,resource/images/vegetables/corn-64.png
134,2024-05-03,Uttar Pradesh,Cucumber,28,32 - 36,34 - 46,1kg,resource/images/vegetables/cucumber-64.png
135,2024-05-03,Uttar Pradesh,Curry Leaves,25,29 - 32,30 - 41,1kg,resource/images/vegetables/curryleaves-64.png
136,2024-05-03,Uttar Pradesh,Dill Leaves,10,12 - 13,12 - 17,1kg,resource/images/vegetables/dillleaves-64.png
137,2024-05-03,Uttar Pradesh,Drumsticks,50,58 - 64,60 - 83,1kg,resource/images/vegetables/drumsticks-64.png
138,2024-05-03,Uttar Pradesh,Brinjal,22,25 - 28,26 - 36,1kg,resource/images/vegetables/brinjal-64.png
139,2024-05-03,Uttar Pradesh,Brinjal (Big),24,28 - 30,29 - 40,1kg,resource/images/vegetables/brinjalbig-64.png
140,2024-05-03,Uttar Pradesh,Elephant Yam,29,33 - 37,35 - 48,1kg,resource/images/vegetables/elephantyam-64.png
141,2024-05-03,Uttar Pradesh,Fenugreek Leaves,10,12 - 13,12 - 17,1kg,resource/images/vegetables/fenugreekleaves-64.png
142,2024-05-03,Uttar Pradesh,French Beans,49,56 - 62,59 - 81,1kg,resource/images/vegetables/frenchbeans-64.png
143,2024-05-03,Uttar Pradesh,Garlic,152,175 - 193,182 - 251,1kg,resource/images/vegetables/garlic-64.png
144,2024-05-03,Uttar Pradesh,Ginger,114,131 - 145,137 - 188,1kg,resource/images/vegetables/ginger-64.png
145,2024-05-03,Uttar Pradesh,Onion Green,46,53 - 58,55 - 76,1kg,resource/images/vegetables/oniongreen-64.png
146,2024-05-03,Uttar Pradesh,Green Peas,40,46 - 51,48 - 66,1kg,resource/images/vegetables/greenpeas-64.png
147,2024-05-03,Uttar Pradesh,Ivy Gourd,28,32 - 36,34 - 46,1kg,resource/images/vegetables/ivygourd-64.png
148,2024-05-03,Uttar Pradesh,Lemon (Lime),75,86 - 95,90 - 124,1kg,resource/images/vegetables/lemon-64.png
149,2024-05-03,Uttar Pradesh,Mango Raw,25,29 - 32,30 - 41,1kg,resource/images/vegetables/mangoraw-64.png
150,2024-05-03,Uttar Pradesh,Mint Leaves,5,6 - 6,6 - 8,1kg,resource/images/vegetables/mintleaves-64.png
151,2024-05-03,Uttar Pradesh,Mushroom,87,100 - 110,104 - 144,1kg,resource/images/vegetables/mushroom-64.png
152,2024-05-03,Uttar Pradesh,Mustard Leaves,14,16 - 18,17 - 23,1kg,resource/images/vegetables/mustardleaves-64.png
153,2024-05-03,Uttar Pradesh,Ladies Finger,42,48 - 53,50 - 69,1kg,resource/images/vegetables/ladiesfinger-64.png
154,2024-05-03,Uttar Pradesh,Pumpkin,19,22 - 24,23 - 31,1kg,resource/images/vegetables/pumpkin-64.png
155,2024-05-03,Uttar Pradesh,Radish,24,28 - 30,29 - 40,1kg,resource/images/vegetables/radish-64.png
156,2024-05-03,Uttar Pradesh,Ridge Gourd,34,39 - 43,41 - 56,1kg,resource/images/vegetables/ridgegourd-64.png
157,2024-05-03,Uttar Pradesh,Shallot (Pearl Onion),30,35 - 38,36 - 50,1kg,resource/images/vegetables/shallot-64.png
158,2024-05-03,Uttar Pradesh,Snake Gourd,23,26 - 29,28 - 38,1kg,resource/images/vegetables/snakegourd-64.png
159,2024-05-03,Uttar Pradesh,Sorrel Leaves,11,13 - 14,13 - 18,1kg,resource/images/vegetables/sorrelleaves-64.png
160,2024-05-03,Uttar Pradesh,Spinach,16,18 - 20,19 - 26,1kg,resource/images/vegetables/spinach-64.png
161,2024-05-03,Uttar Pradesh,Sweet Potato,39,45 - 50,47 - 64,1kg,resource/images/vegetables/sweetpotato-64.png
162,2024-05-04,Uttar Pradesh,Onion Big,27,31 - 34,32 - 45,1kg,resource/images/vegetables/onionbig-64.png
163,2024-05-04,Uttar Pradesh,Onion Small,32,37 - 41,38 - 53,1kg,resource/images/vegetables/onionsmall-64.png
164,2024-05-04,Uttar Pradesh,Tomato,27,31 - 34,32 - 45,1kg,resource/images/vegetables/tomato-64.png
165,2024-05-04,Uttar Pradesh,Green Chilli,44,51 - 56,53 - 73,1kg,resource/images/vegetables/greenchili-64.png
166,2024-05-04,Uttar Pradesh,Beetroot,38,44 - 48,46 - 63,1kg,resource/images/vegetables/beetroot-64.png
167,2024-05-04,Uttar Pradesh,Potato,28,32 - 36,34 - 46,1kg,resource/images/vegetables/potato-64.png
168,2024-05-04,Uttar Pradesh,Raw Banana (Plantain),8,9 - 10,10 - 13,1kg,resource/images/vegetables/plantain-64.png
169,2024-05-04,Uttar Pradesh,Amaranth Leaves,10,12 - 13,12 - 17,1kg,resource/images/vegetables/amaranthleaves-64.png
170,2024-05-04,Uttar Pradesh,Amla,75,86 - 95,90 - 124,1kg,resource/images/vegetables/amla-64.png
171,2024-05-04,Uttar Pradesh,Ash gourd,23,26 - 29,28 - 38,1kg,resource/images/vegetables/ashgourd-64.png
172,2024-05-04,Uttar Pradesh,Baby Corn,63,72 - 80,76 - 104,1kg,resource/images/vegetables/babycorn-64.png
173,2024-05-04,Uttar Pradesh,Banana Flower,20,23 - 25,24 - 33,1kg,resource/images/vegetables/bananaflower-64.png
174,2024-05-04,Uttar Pradesh,Capsicum,48,55 - 61,58 - 79,1kg,resource/images/vegetables/capsicum-64.png
175,2024-05-04,Uttar Pradesh,Bitter Gourd,32,37 - 41,38 - 53,1kg,resource/images/vegetables/bittergourd-64.png
176,2024-05-04,Uttar Pradesh,Bottle Gourd,26,30 - 33,31 - 43,1kg,resource/images/vegetables/bottlegourd-64.png
177,2024-05-04,Uttar Pradesh,Butter Beans,50,58 - 64,60 - 83,1kg,resource/images/vegetables/butterbeans-64.png
178,2024-05-04,Uttar Pradesh,Broad Beans,28,32 - 36,34 - 46,1kg,resource/images/vegetables/broadbeans-64.png
179,2024-05-04,Uttar Pradesh,Cabbage,22,25 - 28,26 - 36,1kg,resource/images/vegetables/cabbage-64.png
180,2024-05-04,Uttar Pradesh,Carrot,45,52 - 57,54 - 74,1kg,resource/images/vegetables/carrot-64.png
181,2024-05-04,Uttar Pradesh,Cauliflower,27,31 - 34,32 - 45,1kg,resource/images/vegetables/cauliflower-64.png
182,2024-05-04,Uttar Pradesh,Cluster beans,41,47 - 52,49 - 68,1kg,resource/images/vegetables/clusterbeans-64.png
183,2024-05-04,Uttar Pradesh,Coconut,34,39 - 43,41 - 56,1kg,resource/images/vegetables/coconut-64.png
184,2024-05-04,Uttar Pradesh,Colocasia Leaves,12,14 - 15,14 - 20,1kg,resource/images/vegetables/colocasialeaves-64.png
185,2024-05-04,Uttar Pradesh,Colocasia,27,31 - 34,32 - 45,1kg,resource/images/vegetables/colocasia-64.png
186,2024-05-04,Uttar Pradesh,Coriander Leaves,8,9 - 10,10 - 13,1kg,resource/images/vegetables/corianderleaves-64.png
187,2024-05-04,Uttar Pradesh,Corn,26,30 - 33,31 - 43,1kg,resource/images/vegetables/corn-64.png
188,2024-05-04,Uttar Pradesh,Cucumber,28,32 - 36,34 - 46,1kg,resource/images/vegetables/cucumber-64.png
189,2024-05-04,Uttar Pradesh,Curry Leaves,25,29 - 32,30 - 41,1kg,resource/images/vegetables/curryleaves-64.png
190,2024-05-04,Uttar Pradesh,Dill Leaves,10,12 - 13,12 - 17,1kg,resource/images/vegetables/dillleaves-64.png
191,2024-05-04,Uttar Pradesh,Drumsticks,50,58 - 64,60 - 83,1kg,resource/images/vegetables/drumsticks-64.png
192,2024-05-04,Uttar Pradesh,Brinjal,22,25 - 28,26 - 36,1kg,resource/images/vegetables/brinjal-64.png
193,2024-05-04,Uttar Pradesh,Brinjal (Big),24,28 - 30,29 - 40,1kg,resource/images/vegetables/brinjalbig-64.png
194,2024-05-04,Uttar Pradesh,Elephant Yam,29,33 - 37,35 - 48,1kg,resource/images/vegetables/elephantyam-64.png
195,2024-05-04,Uttar Pradesh,Fenugreek Leaves,10,12 - 13,12 - 17,1kg,resource/images/vegetables/fenugreekleaves-64.png
196,2024-05-04,Uttar Pradesh,French Beans,49,56 - 62,59 - 81,1kg,resource/images/vegetables/frenchbeans-64.png
197,2024-05-04,Uttar Pradesh,Garlic,152,175 - 193,182 - 251,1kg,resource/images/vegetables/garlic-64.png
198,2024-05-04,Uttar Pradesh,Ginger,114,131 - 145,137 - 188,1kg,resource/images/vegetables/ginger-64.png
199,2024-05-04,Uttar Pradesh,Onion Green,46,53 - 58,55 - 76,1kg,resource/images/vegetables/oniongreen-64.png
200,2024-05-04,Uttar Pradesh,Green Peas,40,46 - 51,48 - 66,1kg,resource/images/vegetables/greenpeas-64.png
201,2024-05-04,Uttar Pradesh,Ivy Gourd,28,32 - 36,34 - 46,1kg,resource/images/vegetables/ivygourd-64.png
202,2024-05-04,Uttar Pradesh,Lemon (Lime),75,86 - 95,90 - 124,1kg,resource/images/vegetables/lemon-64.png
203,2024-05-04,Uttar Pradesh,Mango Raw,25,29 - 32,30 - 41,1kg,resource/images/vegetables/mangoraw-64.png
204,2024-05-04,Uttar Pradesh,Mint Leaves,5,6 - 6,6 - 8,1kg,resource/images/vegetables/mintleaves-64.png
205,2024-05-04,Uttar Pradesh,Mushroom,87,100 - 110,104 - 144,1kg,resource/images/vegetables/mushroom-64.png
206,2024-05-04,Uttar Pradesh,Mustard Leaves,14,16 - 18,17 - 23,1kg,resource/images/vegetables/mustardleaves-64.png
207,2024-05-04,Uttar Pradesh,Ladies Finger,42,48 - 53,50 - 69,1kg,resource/images/vegetables/ladiesfinger-64.png
208,2024-05-04,Uttar Pradesh,Pumpkin,19,22 - 24,23 - 31,1kg,resource/images/vegetables/pumpkin-64.png
209,2024-05-04,Uttar Pradesh,Radish,24,28 - 30,29 - 40,1kg,resource/images/vegetables/radish-64.png
210,2024-05-04,Uttar Pradesh,Ridge Gourd,34,39 - 43,41 - 56,1kg,resource/images/vegetables/ridgegourd-64.png
211,2024-05-04,Uttar Pradesh,Shallot (Pearl Onion),30,35 - 38,36 - 50,1kg,resource/images/vegetables/shallot-64.png
212,2024-05-04,Uttar Pradesh,Snake Gourd,23,26 - 29,28 - 38,1kg,resource/images/vegetables/snakegourd-64.png
213,2024-05-04,Uttar Pradesh,Sorrel Leaves,11,13 - 14,13 - 18,1kg,resource/images/vegetables/sorrelleaves-64.png
214,2024-05-04,Uttar Pradesh,Spinach,16,18 - 20,19 - 26,1kg,resource/images/vegetables/spinach-64.png
215,2024-05-04,Uttar Pradesh,Sweet Potato,39,45 - 50,47 - 64,1kg,resource/images/vegetables/sweetpotato-64.png
216,2024-05-05,Uttar Pradesh,Onion Big,26,30 - 33,31 - 43,1kg,resource/images/vegetables/onionbig-64.png
217,2024-05-05,Uttar Pradesh,Onion Small,34,39 - 43,41 - 56,1kg,resource/images/vegetables/onionsmall-64.png
